Entity,Code,Year,Elo rating
Computer chess engine,,1985,2016
Computer chess engine,,1986,2079
Computer chess engine,,1987,2119
Computer chess engine,,1988,2148
Computer chess engine,,1989,2219
Computer chess engine,,1990,2263
Computer chess engine,,1991,2263
Computer chess engine,,1992,2320
Computer chess engine,,1993,2321
Computer chess engine,,1994,2314
Computer chess engine,,1995,2427
Computer chess engine,,1996,2430
Computer chess engine,,1997,2853
Computer chess engine,,1998,2853
Computer chess engine,,1999,2853
Computer chess engine,,2000,2853
Computer chess engine,,2001,2853
Computer chess engine,,2002,2853
Computer chess engine,,2003,2853
Computer chess engine,,2004,2853
Computer chess engine,,2005,2853
Computer chess engine,,2006,2871
Computer chess engine,,2007,3236
Computer chess engine,,2008,3237
Computer chess engine,,2009,3227
Computer chess engine,,2010,3227
Computer chess engine,,2011,3236
Computer chess engine,,2012,3250
Computer chess engine,,2013,3259
Computer chess engine,,2014,3331
Computer chess engine,,2015,3381
Computer chess engine,,2016,3411
Computer chess engine,,2017,3460
Computer chess engine,,2018,3528
Computer chess engine,,2019,3529
Computer chess engine,,2020,3573
Computer chess engine,,2021,3581
Computer chess engine,,2022,3591
Computer chess engine,,2023,3586